id,SalePrice
1461,119958.03568086027
1462,151482.56732178395
1463,180200.85364774
1464,197515.6191932898
1465,202434.15749064818
1466,170553.80020411688
1467,179791.3814493701
1468,159786.24839760805
1469,196124.18290531356
1470,118848.5090747231
1471,188060.28287047608
1472,98874.49267449272
1473,95139.60535946705
1474,143650.45340084162
1475,107788.4400639634
1476,353637.7429500645
1477,246593.8884917948
1478,299793.5405770783
1479,300047.4223672613
1480,468168.65255184023
1481,321388.27559221024
1482,213626.66131492527
1483,181178.24498756157
1484,160707.47963791044
1485,197392.59475472636
1486,194937.39517316487
1487,335953.36810157524
1488,238785.18885069172
1489,189499.4235518235
1490,239798.14108499876
1491,196908.57696842722
1492,92669.44523145256
1493,190785.53370780428
1494,295743.9681727021
1495,288783.36678031564
1496,234247.278802205
1497,179731.18985015666
1498,171647.37301015365
1499,165691.10372280012
1500,158408.21645270995
1501,172992.95396477036
1502,145806.45401246054
1503,285953.0864767644
1504,241975.47239173672
1505,225726.2368613103
1506,187589.04381076852
1507,244001.42398649143
1508,201683.97047180764
1509,161700.73678232913
1510,142587.4120516969
1511,150707.5909010147
1512,177473.8613694221
1513,153712.5433481867
1514,154169.29629532777
1515,192753.11906772008
1516,155724.71188229826
1517,171602.61980410706
1518,131335.31357240264
1519,209173.90226492216
1520,125480.1393832694
1521,128980.66205255096
1522,179320.27222170815
1523,110060.78664833559
1524,126801.31939841094
1525,117884.95844067354
1526,110336.41661186989
1527,109264.97026908315
1528,140138.658888564
1529,149754.50690539603
1530,187505.41211882088
1531,107038.98144264413
1532,98599.66704899057
1533,145727.8569499829
1534,127754.78547481191
1535,146880.3064607262
1536,107061.7611781298
1537,61370.93196410738
1538,147900.73574816043
1539,194952.3155358654
1540,98419.39663434523
1541,137951.33323852794
1542,140328.13596767612
1543,178438.8873053459
1544,88908.45240637587
1545,118530.53448154806
1546,138920.0875150221
1547,128140.35533722928
1548,142759.83454615818
1549,123916.79784501856
1550,133387.52200822986
1551,106600.95955781819
1552,133270.63147645883
1553,145111.62266952827
1554,116065.46661050533
1555,158658.53647127352
1556,86637.56393409453
1557,105269.77594404783
1558,102073.88963032675
1559,63815.16526167638
1560,134646.87018439127
1561,125800.45662833362
1562,131032.22187926779
1563,117679.93915014046
1564,154206.30751749736
1565,150891.97122510345
1566,239163.5260674261
1567,77679.36499761212
1568,232878.76661160754
1569,124226.7284871757
1570,141737.62209480934
1571,123612.29380225853
1572,140148.8597357386
1573,228540.67790020246
1574,119906.93697284324
1575,229505.79100887483
1576,250118.0964314592
1577,178040.27605979602
1578,150476.4137149991
1579,143380.78514874313
1580,197272.397168116
1581,156303.7747759939
1582,124485.80428106821
1583,282176.7467947102
1584,216047.37914194263
1585,133838.84086351667
1586,64043.70917234095
1587,107182.11774385955
1588,151703.05292493012
1589,96467.44096752588
1590,133280.25736111935
1591,89610.44809989548
1592,115191.24218792796
1593,126192.82947907383
1594,122740.38034701673
1595,106236.89541185288
1596,214983.62553379417
1597,196103.51870949927
1598,233248.81723808893
1599,166963.7544154351
1600,158619.888667493
1601,66603.07764393248
1602,118611.56018638247
1603,70791.92304066045
1604,256728.39971786295
1605,241396.1461002653
1606,168356.82895691073
1607,177798.74421209903
1608,216348.25663605187
1609,180674.09855562268
1610,151484.65342227937
1611,137758.68052711932
1612,173327.96553355278
1613,165117.0806683789
1614,129953.92038077768
1615,96441.40108149825
1616,79755.20945406877
1617,95856.17488520342
1618,125122.37079737536
1619,138672.0834848871
1620,146919.25214627312
1621,138712.8492664765
1622,143657.89764377484
1623,258021.06921533382
1624,209067.13569807846
1625,117888.51813464331
1626,173142.29661251343
